predict_date,class_id,predict_quantity
201711,103507,216
201711,124140,302
201711,125403,159
201711,136916,176
201711,169673,193
201711,175962,228
201711,178529,182
201711,186250,137
201711,194201,418
201711,194450,295
201711,198427,127
201711,206765,1825
201711,209945,127
201711,219195,139
201711,221795,381
201711,245609,143
201711,248352,312
201711,249875,157
201711,250658,221
201711,265980,231
201711,270690,904
201711,281301,327
201711,281792,514
201711,289386,488
201711,289403,292
201711,290854,232
201711,291086,379
201711,291514,75
201711,302513,172
201711,304458,431
201711,308913,162
201711,321683,2067
201711,340175,177
201711,347384,3254
201711,348641,340
201711,349023,1081
201711,350259,499
201711,354068,473
201711,356986,549
201711,359378,99
201711,360648,166
201711,376193,137
201711,378356,443
201711,378536,136
201711,379265,375
201711,379876,208
201711,384924,699
201711,392593,225
201711,395234,154
201711,401052,153
201711,409854,1588
201711,412240,102
201711,416749,208
201711,417803,156
201711,425432,1944
201711,436105,462
201711,437063,126
201711,437598,104
201711,453752,186
201711,468392,167
201711,472603,218
201711,475895,134
201711,481950,172
201711,482497,178
201711,492952,208
201711,496459,378
201711,501564,173
201711,510309,123
201711,516750,96
201711,526401,447
201711,527765,61
201711,527809,170
201711,540712,316
201711,559132,134
201711,560265,98
201711,569154,335
201711,576298,265
201711,580470,436
201711,580634,250
201711,587678,175
201711,591790,256
201711,597927,215
201711,603972,486
201711,612523,159
201711,614059,324
201711,619401,399
201711,621073,1096
201711,628041,764
201711,649213,121
201711,651347,215
201711,651782,106
201711,653436,206
201711,654134,627
201711,671482,119
201711,682651,278
201711,683364,121
201711,687270,568
201711,692703,523
201711,693436,239
201711,713651,208
201711,714150,217
201711,714152,434
201711,714860,194
201711,725137,131
201711,732758,175
201711,735971,2469
201711,736094,228
201711,739296,822
201711,741152,603
201711,743957,730
201711,745137,940
201711,750340,125
201711,760412,87
201711,786351,175
201711,789290,84
201711,810398,144
201711,815230,185
201711,819061,158
201711,842246,179
201711,851857,181
201711,854079,190
201711,854548,144
201711,861459,307
201711,871642,172
201711,872180,153
201711,883691,266
201711,890189,1152
201711,905061,396
201711,905745,186
201711,914348,544
201711,923841,709
201711,924154,1319
201711,948936,95
201711,950264,1088
201711,953842,1017
201711,961362,82
201711,961962,114
201711,963845,242
201711,973106,205
201711,978089,459
