predict_date,class_id,predict_quantity
201711,103507,274
201711,124140,234
201711,125403,178
201711,136916,249
201711,169673,113
201711,175962,206
201711,178529,226
201711,186250,136
201711,194201,227
201711,194450,212
201711,198427,66
201711,206765,1670
201711,209945,239
201711,219195,181
201711,221795,312
201711,245609,55
201711,248352,250
201711,249875,146
201711,250658,112
201711,265980,257
201711,270690,711
201711,281301,408
201711,281792,348
201711,289386,167
201711,289403,241
201711,290854,388
201711,291086,267
201711,291514,94
201711,302513,147
201711,304458,226
201711,308913,70
201711,321683,1981
201711,340175,208
201711,347384,2455
201711,348641,246
201711,349023,415
201711,350259,458
201711,354068,299
201711,356986,414
201711,359378,100
201711,360648,131
201711,376193,230
201711,378356,478
201711,378536,101
201711,379265,268
201711,379876,159
201711,384924,603
201711,392593,400
201711,395234,207
201711,401052,90
201711,409854,1643
201711,412240,17
201711,416749,260
201711,417803,135
201711,425432,836
201711,436105,304
201711,437063,133
201711,437598,306
201711,453752,128
201711,468392,192
201711,472603,249
201711,475895,100
201711,481950,76
201711,482497,196
201711,492952,192
201711,496459,500
201711,501564,167
201711,510309,150
201711,516750,107
201711,526401,245
201711,527765,48
201711,527809,216
201711,540712,120
201711,559132,140
201711,560265,165
201711,569154,328
201711,576298,159
201711,580470,398
201711,580634,190
201711,587678,304
201711,591790,224
201711,597927,247
201711,603972,492
201711,612523,129
201711,614059,260
201711,619401,276
201711,621073,1803
201711,628041,497
201711,649213,108
201711,651347,179
201711,651782,103
201711,653436,241
201711,654134,1056
201711,671482,82
201711,682651,259
201711,683364,43
201711,687270,344
201711,692703,559
201711,693436,258
201711,713651,60
201711,714150,226
201711,714152,477
201711,714860,241
201711,725137,149
201711,732758,132
201711,735971,1603
201711,736094,257
201711,739296,775
201711,741152,541
201711,743957,594
201711,745137,766
201711,750340,134
201711,760412,109
201711,786351,242
201711,789290,46
201711,810398,64
201711,815230,146
201711,819061,377
201711,842246,190
201711,851857,127
201711,854079,96
201711,854548,100
201711,861459,176
201711,871642,154
201711,872180,167
201711,883691,235
201711,890189,812
201711,905061,402
201711,905745,124
201711,914348,693
201711,923841,450
201711,924154,1026
201711,948936,114
201711,950264,598
201711,953842,375
201711,961362,67
201711,961962,84
201711,963845,231
201711,973106,176
201711,978089,422
