predict_date,class_id,predict_quantity
201711,103507,272
201711,124140,249
201711,125403,197
201711,136916,251
201711,169673,139
201711,175962,230
201711,178529,229
201711,186250,136
201711,194201,240
201711,194450,215
201711,198427,82
201711,206765,1435
201711,209945,179
201711,219195,171
201711,221795,339
201711,245609,99
201711,248352,269
201711,249875,135
201711,250658,114
201711,265980,258
201711,270690,739
201711,281301,444
201711,281792,290
201711,289386,241
201711,289403,150
201711,290854,388
201711,291086,137
201711,291514,114
201711,302513,135
201711,304458,271
201711,308913,35
201711,321683,1636
201711,340175,194
201711,347384,2265
201711,348641,291
201711,349023,748
201711,350259,427
201711,354068,417
201711,356986,403
201711,359378,115
201711,360648,116
201711,376193,131
201711,378356,451
201711,378536,100
201711,379265,310
201711,379876,113
201711,384924,632
201711,392593,221
201711,395234,122
201711,401052,89
201711,409854,1656
201711,412240,-8
201711,416749,290
201711,417803,132
201711,425432,1110
201711,436105,273
201711,437063,133
201711,437598,272
201711,453752,145
201711,468392,186
201711,472603,177
201711,475895,80
201711,481950,66
201711,482497,191
201711,492952,233
201711,496459,428
201711,501564,167
201711,510309,150
201711,516750,81
201711,526401,233
201711,527765,48
201711,527809,221
201711,540712,109
201711,559132,120
201711,560265,131
201711,569154,334
201711,576298,154
201711,580470,408
201711,580634,191
201711,587678,240
201711,591790,218
201711,597927,200
201711,603972,444
201711,612523,135
201711,614059,263
201711,619401,272
201711,621073,1729
201711,628041,462
201711,649213,103
201711,651347,181
201711,651782,103
201711,653436,217
201711,654134,957
201711,671482,75
201711,682651,265
201711,683364,47
201711,687270,340
201711,692703,582
201711,693436,216
201711,713651,76
201711,714150,207
201711,714152,400
201711,714860,308
201711,725137,159
201711,732758,139
201711,735971,1302
201711,736094,262
201711,739296,764
201711,741152,660
201711,743957,598
201711,745137,785
201711,750340,108
201711,760412,48
201711,786351,232
201711,789290,51
201711,810398,60
201711,815230,148
201711,819061,365
201711,842246,178
201711,851857,147
201711,854079,87
201711,854548,77
201711,861459,139
201711,871642,187
201711,872180,171
201711,883691,239
201711,890189,902
201711,905061,187
201711,905745,136
201711,914348,548
201711,923841,444
201711,924154,1088
201711,948936,110
201711,950264,620
201711,953842,491
201711,961362,68
201711,961962,97
201711,963845,263
201711,973106,142
201711,978089,409
