sale_quantity,compartment_mean,displacement_mean,avg_price_mean,power_mean,cylinder_number_mean,engine_torque_mean,car_length_mean,car_width_mean,car_height_mean,total_quality_mean,equipment_quality_mean,rated_passenger_mean,wheelbase_mean,front_track_mean,rear_track_mean,max_price_mean,min_price_mean,compartment_count,type_id_count,level_id_count,department_id_count,TR_count,gearbox_type_count,displacement_count,if_charging_count,driven_type_id_count,fuel_type_id_count,newenergy_type_id_count,emission_standards_id_count,if_MPV_id_count,if_luxurious_id_count,rated_passenger_count,max_price_count,min_price_count,avg_price_count,compartment_label_mean,displacement_label_mean,power_label_mean,cylinder_number_label_mean,engine_torque_label_mean,car_length_label_mean,car_width_label_mean,car_height_label_mean,total_quality_label_mean,equipment_quality_label_mean,rated_passenger_label_mean,wheelbase_label_mean,front_track_label_mean,rear_track_label_mean,max_price_label_mean,min_price_label_mean,avg_price_label_mean,sales,sale_date,class_id,label
90,2.0,2.6,42.5,145.333333333,4.66666666667,246.666666667,5241.66666667,1867.66666667,1764.66666667,2440.0,1870.0,7.0,3088.0,1593.0,1601.0,50.0,35.0,1,1,1,1,1,1,2.0,1,1,1,1,1,1,1,1.0,1,1,1.0,2.0,2.56666666667,141.611111111,4.55555555556,243.055555556,5248.35555556,1872.48888889,1768.08888889,2454.0,1865.0,7.0,3088.0,1593.0,1601.0,50.0,35.0,42.5,90,1,125403,156
665,3.0,2.27142857143,17.5,121.857142857,4.0,214.142857143,4825.0,1822.85714286,1482.14285714,2000.0,1500.71428571,5.0,2775.0,1575.0,1560.0,20.0,15.0,1,1,1,1,3,1,3.0,1,1,1,1,1,1,1,1.0,1,1,1.0,3.0,2.12436090226,114.079699248,4.0,200.987969925,4825.0,1821.03007519,1483.96992481,2000.0,1512.27067669,5.0,2775.0,1575.0,1560.0,20.0,15.0,17.5,665,1,136916,351
1739,1.0,1.0875,2.5,54.25,4.0,96.5,3940.625,1568.125,1860.0,1673.75,1015.0,7.0,2593.75,1286.25,1290.0,5.0,0.0,1,1,1,1,1,1,3.0,1,1,1,1,1,1,1,1.0,1,1,1.0,1.0,1.01414606095,47.1127084531,4.0,87.5008625647,3774.10580794,1531.89189189,1860.0,1572.10465785,990.595169638,7.0,2505.75043128,1282.426682,1290.0,5.0,0.0,2.5,1739,1,178529,1493
65,2.0,2.0,17.5,104.0,4.0,184.0,4325.0,1795.0,1680.0,1900.0,1525.0,5.0,2630.0,1550.0,1550.0,20.0,15.0,1,1,1,1,2,2,1.0,1,1,1,1,1,1,1,1.0,1,1,1.0,2.0,2.0,104.0,4.0,184.0,4325.0,1795.0,1680.0,1899.23076923,1524.23076923,5.0,2630.0,1550.0,1550.0,20.0,15.0,17.5,65,1,194450,59
47,3.0,1.5,6.5,79.0,4.0,141.0,4602.0,1725.0,1485.0,1615.0,1205.0,5.0,2602.0,1482.0,1462.0,8.0,5.0,1,1,1,1,1,1,1.0,1,1,1,1,1,1,1,1.0,1,1,1.0,3.0,1.5,78.2127659574,4.0,141.787234043,4602.0,1725.0,1485.0,1611.06382979,1201.06382979,5.0,2602.0,1482.0,1462.0,8.0,5.0,6.5,47,1,198427,21
168,3.0,2.75,42.5,193.0,6.0,297.5,5039.0,1860.0,1486.75,2277.5,1797.5,5.0,3108.0,1598.5,1620.0,50.0,35.0,1,1,1,1,1,1,2.0,2,1,1,1,1,1,1,1.0,1,1,1.0,3.0,2.54761904762,168.94047619,6.0,256.428571429,5039.0,1860.0,1491.0,2249.22619048,1769.22619048,5.0,3108.0,1599.71428571,1625.66666667,50.0,35.0,42.5,168,1,209945,107
1713,3.0,1.46666666667,9.0,82.6,4.0,141.666666667,4370.0,1700.0,1460.0,1486.66666667,1069.0,5.0,2570.0,1503.66666667,1507.66666667,10.0,8.0,1,1,1,1,2,2,2.0,1,1,1,1,1,1,1,1.0,1,1,1.0,3.0,1.4862813777,83.7474605954,4.0,143.62813777,4370.0,1700.0,1460.0,1484.1214244,1066.39638062,5.0,2570.0,1501.50904845,1505.50904845,10.0,8.0,9.0,1713,1,248352,1117
965,3.0,1.68,30.0,115.0,4.0,244.0,4870.0,1834.0,1472.0,2033.0,1493.0,5.0,2803.0,1577.0,1550.0,35.0,25.0,1,1,1,1,3,3,3.0,1,1,1,1,1,1,1,1.0,1,1,1.0,3.0,1.79668393782,119.459067358,4.0,251.119170984,4870.0,1834.0,1472.0,2052.15025907,1512.15025907,5.0,2803.0,1577.0,1550.0,35.0,25.0,30.0,965,1,281301,650
632,2.0,2.2,17.5,117.5,4.0,205.0,4537.5,1820.0,1680.0,2061.66666667,1578.33333333,5.0,2620.0,1565.0,1565.0,20.0,15.0,1,1,1,1,2,2,2.0,1,2,1,1,1,1,1,1.0,1,1,1.0,2.0,2.18037974684,116.764240506,4.0,203.528481013,4531.28164557,1820.0,1680.0,2067.59493671,1579.6914557,5.0,2620.0,1565.0,1565.0,20.0,15.0,17.5,632,1,290854,276
507,3.0,2.13333333333,22.5,137.0,4.0,260.0,4830.0,1856.0,1484.0,2033.33333333,1598.33333333,5.0,2737.0,1585.0,1587.0,25.0,20.0,1,1,1,1,1,1,2.0,2,1,1,1,1,1,1,1.0,1,1,1.0,3.0,2.05917159763,115.493096647,4.0,206.232741617,4830.0,1856.0,1484.0,2000.42406312,1565.42406312,5.0,2737.0,1585.0,1587.0,25.0,20.0,22.5,507,1,291086,272
